#uid	name
ch0010187	Ros
ui0000030	Soldier Tom
ui0000031	Bolton Officer
ui0000032	Oznak zo Pahl
ui0000033	Iggo
ui0000034	Khal Brozho
ui0000035	Khal Qorro
ui0000036	Khal Forzho
ui0000037	Eleanor
ui0000038	Eleanor's Daughter
ui0000039	Zalla
ui0000040	Wight
ui0000041	Kevin Eldon
ui0000042	Laurence Spellman
ui0000043	Little Birds
ui0000044	Rebel Slaves
ui0000045	King's Landing Boaster
ui0000046	Faith Militant
ui0000047	Unsullied
ui0000048	Frey Crossbowmen
ui0000049	Rennick
ui0000050	Belicho Paenymion
ui0000051	Kings Landing Rioters
ui0000052	Torrhen Karstark
ui0000053	Barra
ui0000054	Despondent Man
ui0000055	Norvoshi Pit Fighter
ui0000056	Meereenese Champion
ui0000057	Pack of Wights
ui0000058	Johnna
ui0000059	Willa
ui0000060	Wildling
ui0000061	Mountain Clansman
ui0000062	Catelyn Tully
ui0000063	Donnel Hill
ui0000064	Cooper
ui0000065	Axell Florent
ui0000066	Son of the Harpy
ui0000067	Bolton Soldier
ui0000068	Khal Jhaqo's Khalasar
ui0000069	Ramsay Snow's Hounds
ui0000070	Master Torturer
ui0000071	Medger Cerwyn
ui0000072	Lady Cerwyn
ui0000073	Unidentified Cerwyn
ui0000074	Old Woman
ui0000074	Woman
ui0000075	Boar
ui0000076	Kings Landing Rioter
ui0000076	Kings Landing Rioter #1
ui0000076	Kings Landing Rioter #2
ui0000076	Kings Landing Rioter #3
ui0000077	Lowell
ui0000078	Dying Man
ui0000079	Steve
ui0000080	Riddell
ui0000081	Morgan
ui0000082	Gordy
ui0000083	Simpson
ui0000084	Olly's Mother
ui0000085	Tortured Prisoner
ui0000086	Harrag
ui0000087	Maester Caleotte
ui0000088	Man
ui0000088	Old Man
ui0000089	Guymon
ui0000090	Mole's Town Whore
ui0000091	Quellon Greyjoy
ui0000092	Aegon V Targaryen
ui0000093	Daenerys I Targaryen
ui0000094	Beric Dayne
ui0000095	Alannys Harlaw
ui0000096	Robert I Baratheon
ui0000097	Lyonel Selmy
ui0000098	Selwyn Tarth
ui0000099	Minisa Whent
ui0000100	Bran I the Broken
ui0000101	All of his daughters
ui0000102	Drogo
ui0000103	Marya Seaworth
ui0000104	Melessa Florent
ui0000105	Anya Waynwood
ui0000106	Bharbo
ui0000107	Son
ui0000108	Joss
ui0000109	Daughters
ui0000110	Father
ui0000111	Wife
ui0000112	Jasper Arryn
ui0000113	Lysa Tully
ui0000114	Tanda Stokeworth
ui0000115	Alerie Hightower
ui0000116	Luthor Tyrell
ui0000117	Olenna Redwyne
ui0000118	Joffrey I Baratheon
ui0000119	Tommen I Baratheon
ui0000120	Cersei I Lannister
ui0000121	YiTish noblewoman
ui0000122	Lowborn Reachwoman
ui0000123	Baelish
ui0000124	Steffon Baratheon
ui0000125	Cassana Estermont
ui0000126	Gendry Baratheon
ui0000127	Sybelle Locke
ui0000128	Walda Frey
ui0000129	Ramsay Bolton
ui0000130	Milkmaid
ui0000131	Sam
ui0000132	Petyr Baratheon
ui0000133	Tommard Baratheon
ui0000134	Edric Baratheon
ui0000135	Dolf
ui0000136	Selyse Florent
ui0000137	Olyvar Frey
ui0000138	Roslin Tully
ui0000139	Waldron Frey
ui0000140	Arwaya Frey
ui0000141	Derwa Frey
ui0000142	Waldra Frey
ui0000143	Shirei Frey
ui0000144	Walder Rivers
ui0000145	Andar Royce
ui0000146	Elena Egen
ui0000147	Robar Royce
ui0000148	Goatherd
ui0000149	Damon Marbrand
ui0000150	Sunderly
ui0000151	Sigorn of the Thenns
ui0000152	Unnamed whore
ui0000153	Lyarra Stark
ui0000154	Tully
ui0000155	Dale Seaworth
ui0000156	Allard Seaworth
ui0000157	Maric Seaworth
ui0000158	Devan Seaworth
ui0000159	Stannis Seaworth
ui0000160	Steffon Seaworth
ui0000161	Eleanor Mooton
ui0000162	Steffon Hollard
ui0000163	Martell
ui0000164	Mellario of Norvos
ui0000165	Arianne Martell
ui0000166	Quentyn Martell
ui0000167	Unborn child
ui0000168	Harmen Uller
ui0000169	Elia Sand
ui0000170	Obella Sand
ui0000171	Dorea Sand
ui0000172	Loreza Sand
ui0000173	Gilwood Hunter
ui0000174	Eustace Hunter
ui0000175	Harlan Hunter
ui0000176	Palla
ui0000177	Monster
ui0000178	A baker
ui0000179	Jyana
ui0000180	Cousin to the Prince of Pentos
ui0000181	Serra
ui0000182	Joanna Lannister
ui0000183	Mormont
ui0000184	Jeyne Royce
ui0000185	Rowena Arryn
ui0000186	Stillborn daughter
ui0000187	Two stillborn children
ui0000188	Robert Arryn
ui0000189	Wylla
ui0000190	Ashara Dayne
ui0000191	Fisherman's daughter
ui0000192	Unknown
ui0000193	Bracken
ui0000194	Harry Rivers
ui0000195	Barbara Bracken
ui0000196	Jayne Bracken
ui0000197	Catelyn Bracken
ui0000198	Bess Bracken
ui0000199	Alysanne Bracken
ui0000200	Unnamed Glover
ui0000201	Lynesse Hightower
ui0000202	Martyn Cassel
ui0000203	Tytos Lannister
ui0000204	Jeyne Marbrand
ui0000205	Dorna Swyft
ui0000206	Janei Lannister
ui0000207	Amerei Frey
ui0000208	Bronn of the Blackwater
ui0000209	Tyrion Tanner
ui0000210	Alyssa Blackwood
ui0000211	Leonella Lefford
ui0000212	Tysane Frey
ui0000213	Emberlei Frey
ui0000214	Leana Frey
ui0000215	Maege Mormont
ui0000216	Willas Tyrell
ui0000217	Garlan Tyrell
ui0000218	Dacey Mormont
ui0000219	Alysane Mormont
ui0000220	Lyra Mormont
ui0000221	Jorelle Mormont
ui0000222	Jonelle Cerwyn
ui0000223	Cley Cerwyn
ui0000224	Alester Florent
ui0000225	Melara Crane
ui0000226	Two daughters
ui0000227	A butcher
ui0000228	A Volantene noblewoman
ui0000229	An Oldtown whore
ui0000230	Sarella Sand
ui0000231	Alayne
ui0000232	Harrion Karstark
ui0000233	Eddard Karstark
ui0000234	Edwyle Stark
ui0000235	Marna Locke
ui0000236	Sybelle Glover
ui0000237	Gawen Glover
ui0000238	Erena Glover
ui0000239	Three wives
ui0000240	Beth Cassel
ui0000241	Unnamed
ui0000242	Bethany Ryswell
ui0000243	"Fat" Walda Frey
ui0000244	Sons who died in the cradle
ui0000245	Domeric Bolton
ui0000246	Bethany Rosby
ui0000247	Unknown smallfolk
ui0000248	Wives
ui0000249	Clegane
ui0000250	Ryam Florent
ui0000251	Black Walder Frey
ui0000252	Annara Farring
ui0000253	Perra Royce
ui0000254	Corenna Swann
ui0000255	Jeyne Lydden
ui0000256	Marsella Waynwood
ui0000257	Ryman Frey
ui0000258	Aegon Frey
ui0000259	Maegelle Frey
ui0000260	Walton Frey
ui0000261	Yorko Terys
ui0000262	Denyo Terys
ui0000263	Mellario
ui0000264	A septa from the Reach
ui0000265	Tysha
ui0000266	Frey
ui0000267	Cyrenna Swann
ui0000268	Amarei Crakehall
ui0000269	Sarya Whent
ui0000270	Emmon Frey
ui0000271	Aenys Frey
ui0000272	Perriane Frey
ui0000273	Jared Frey
ui0000274	Luceon Frey
ui0000275	Hosteen Frey
ui0000276	Lythene Frey
ui0000277	Symond Frey
ui0000278	Danwell Frey
ui0000279	Merrett Frey
ui0000280	Geremy Frey
ui0000281	Raymund Frey
ui0000282	Jammos Frey
ui0000283	Whalen Frey
ui0000284	Morya Frey
ui0000285	Tyta Frey
ui0000286	Perwyn Frey
ui0000287	Willamen Frey
ui0000288	Arwyn Frey
ui0000289	Wendel Frey
ui0000290	Colmar Frey
ui0000291	Waltyr Frey
ui0000292	Elmar Frey
ui0000293	Melwys Rivers
ui0000294	Jeyne Rivers
ui0000295	Martyn Rivers
ui0000296	Ronel Rivers
ui0000297	Mellara Rivers
ui0000298	Other bastards
ui0000299	Ysilla Royce
